ticker,nameKr,market,currency,quoteCurrency,assetType,strategy,riskLevel,expectedCagr,beta,mdd,dividendYield,goals,beginnerFit,tags,notes
XLK,미국 기술 섹터 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,섹터|테크,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
SOXX,미국 반도체 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,반도체|테크,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
SMH,미국 반도체 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,반도체|테크,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
IWM,미국 러셀2000 ETF,US,KRW,USD,ETF,core,medium-high,,,,,core|growth,false,대표지수|중소형,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
DIA,미국 다우존스 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|우량주,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
VT,전세계 주식 ETF,US,KRW,USD,ETF,core,medium,,,,,core,true,글로벌|분산,draft candidate; metrics pending; source Nasdaq ETF screener 2026-05-24
NVDA,엔비디아,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,성장|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
MSFT,마이크로소프트,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,성장|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
AAPL,애플,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,성장|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
AMZN,아마존,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,성장|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
GOOGL,알파벳 A,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,성장|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
META,메타 플랫폼스,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,성장|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
TSLA,테슬라,US,KRW,USD,stock,growth,high,,,,,growth|aggressive,false,성장|고변동,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
AVGO,브로드컴,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,반도체|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
LLY,일라이 릴리,US,KRW,USD,stock,defensive,medium,,,,,defensive|core,true,헬스케어|방어주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
JPM,JP모건체이스,US,KRW,USD,stock,core,medium,,,,,core|growth,false,금융|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
V,비자,US,KRW,USD,stock,core,medium,,,,,core|growth,false,금융|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
UNH,유나이티드헬스,US,KRW,USD,stock,defensive,medium,,,,,defensive|core,true,헬스케어|방어주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
XOM,엑슨모빌,US,KRW,USD,stock,dividend,medium-high,,,,,dividend|core,false,에너지|배당,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
MA,마스터카드,US,KRW,USD,stock,core,medium,,,,,core|growth,false,금융|대형주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
COST,코스트코,US,KRW,USD,stock,defensive,medium,,,,,defensive|core,true,소비재|방어주,draft candidate; metrics pending; source Nasdaq stock screener 2026-05-24
