ticker,nameKr,market,currency,quoteCurrency,assetType,strategy,riskLevel,expectedCagr,beta,mdd,dividendYield,goals,beginnerFit,tags,notes
SPLG,미국 S&P500 저비용 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,true,대표지수|S&P500|핵심,expanded US candidate; metrics pending; source snapshot 2026-05-24
USMV,미국 저변동 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,팩터|저변동|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
AGG,미국 종합채권 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|종합채권|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
BNDX,글로벌 채권 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|글로벌채권|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
SGOV,미국 초단기 국채 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|초단기채|현금성|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
BIL,미국 초단기 국채 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|초단기채|현금성|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
MINT,미국 초단기채 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|초단기채|현금성|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
TIP,미국 물가연동채 ETF,US,KRW,USD,ETF,defensive,low-medium,,,,,defensive|core,true,채권|물가연동채|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
LQD,미국 투자등급 회사채 ETF,US,KRW,USD,ETF,defensive,medium,,,,,defensive|core,false,채권|회사채|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
HYG,미국 하이일드채 ETF,US,KRW,USD,ETF,defensive,medium-high,,,,,defensive,false,채권|하이일드|고수익,expanded US candidate; metrics pending; source snapshot 2026-05-24
VCIT,미국 중기 회사채 ETF,US,KRW,USD,ETF,defensive,medium,,,,,defensive|core,false,채권|회사채|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
XLY,미국 임의소비재 섹터 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,섹터|소비재|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
XLP,미국 필수소비재 섹터 ETF,US,KRW,USD,ETF,defensive,medium,,,,,defensive|core,true,섹터|필수소비재|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
XLI,미국 산업재 섹터 ETF,US,KRW,USD,ETF,core,medium,,,,,core|growth,false,섹터|산업재|경기민감,expanded US candidate; metrics pending; source snapshot 2026-05-24
XLB,미국 소재 섹터 ETF,US,KRW,USD,ETF,core,medium-high,,,,,core|growth,false,섹터|소재|경기민감,expanded US candidate; metrics pending; source snapshot 2026-05-24
XLU,미국 유틸리티 섹터 ETF,US,KRW,USD,ETF,defensive,medium,,,,,defensive|dividend,true,섹터|유틸리티|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
XLRE,미국 부동산 섹터 ETF,US,KRW,USD,ETF,dividend,medium-high,,,,,dividend|defensive,false,섹터|리츠|배당,expanded US candidate; metrics pending; source snapshot 2026-05-24
XLC,미국 커뮤니케이션 섹터 ETF,US,KRW,USD,ETF,growth,medium-high,,,,,growth|core,false,섹터|커뮤니케이션|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
IBB,미국 바이오테크 ETF,US,KRW,USD,ETF,growth,high,,,,,growth,false,바이오|헬스케어|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
XBI,미국 바이오테크 ETF,US,KRW,USD,ETF,growth,high,,,,,growth|aggressive,false,바이오|헬스케어|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
SLV,은 ETF,US,KRW,USD,ETF,aggressive,high,,,,,aggressive,false,원자재|은|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
DBC,원자재 종합 ETF,US,KRW,USD,ETF,aggressive,high,,,,,aggressive,false,원자재|종합원자재|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
USO,원유 ETF,US,KRW,USD,ETF,aggressive,high,,,,,aggressive,false,원자재|원유|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
SCHH,미국 리츠 ETF,US,KRW,USD,ETF,dividend,medium-high,,,,,dividend|defensive,false,리츠|부동산|인컴,expanded US candidate; metrics pending; source snapshot 2026-05-24
VNQI,글로벌 리츠 ETF,US,KRW,USD,ETF,dividend,medium-high,,,,,dividend|defensive,false,리츠|글로벌리츠|인컴,expanded US candidate; metrics pending; source snapshot 2026-05-24
ICLN,글로벌 클린에너지 ETF,US,KRW,USD,ETF,growth,high,,,,,growth|aggressive,false,테마|클린에너지|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
ARKK,혁신 성장 ETF,US,KRW,USD,ETF,aggressive,very-high,,,,,aggressive|growth,false,테마|혁신성장|고위험,expanded US candidate; metrics pending; source snapshot 2026-05-24
BOTZ,로봇·AI ETF,US,KRW,USD,ETF,growth,high,,,,,growth,false,테마|로봇|AI|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
TQQQ,나스닥100 3배 레버리지 ETF,US,KRW,USD,ETF,aggressive,very-high,,,,,aggressive,false,레버리지|나스닥100|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
SQQQ,나스닥100 인버스 3배 ETF,US,KRW,USD,ETF,aggressive,very-high,,,,,aggressive,false,인버스|나스닥100|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
SPXL,S&P500 3배 레버리지 ETF,US,KRW,USD,ETF,aggressive,very-high,,,,,aggressive,false,레버리지|S&P500|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
SPXS,S&P500 인버스 3배 ETF,US,KRW,USD,ETF,aggressive,very-high,,,,,aggressive,false,인버스|S&P500|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
SOXL,반도체 3배 레버리지 ETF,US,KRW,USD,ETF,aggressive,very-high,,,,,aggressive,false,레버리지|반도체|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
SOXS,반도체 인버스 3배 ETF,US,KRW,USD,ETF,aggressive,very-high,,,,,aggressive,false,인버스|반도체|공격형,expanded US candidate; metrics pending; source snapshot 2026-05-24
AMD,AMD,US,KRW,USD,stock,growth,high,,,,,growth|aggressive,false,반도체|AI|고변동|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
ORCL,오라클,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,소프트웨어|클라우드|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
CRM,세일즈포스,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,소프트웨어|클라우드|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
ADBE,어도비,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,소프트웨어|AI|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
NFLX,넷플릭스,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,콘텐츠|커뮤니케이션|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
TSM,TSMC ADR,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,반도체|파운드리|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
ASML,ASML ADR,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,반도체장비|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
QCOM,퀄컴,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,반도체|통신칩|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
TXN,텍사스 인스트루먼트,US,KRW,USD,stock,dividend,medium,,,,,dividend|core,true,반도체|배당|우량주,expanded US candidate; metrics pending; source snapshot 2026-05-24
AMAT,어플라이드 머티어리얼즈,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,반도체장비|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
LRCX,램리서치,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,반도체장비|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
MU,마이크론,US,KRW,USD,stock,growth,high,,,,,growth|aggressive,false,메모리|반도체|고변동,expanded US candidate; metrics pending; source snapshot 2026-05-24
INTC,인텔,US,KRW,USD,stock,core,high,,,,,core|growth,false,반도체|회복주|고변동,expanded US candidate; metrics pending; source snapshot 2026-05-24
BAC,뱅크오브아메리카,US,KRW,USD,stock,dividend,medium,,,,,dividend|core,false,금융|은행|배당,expanded US candidate; metrics pending; source snapshot 2026-05-24
WFC,웰스파고,US,KRW,USD,stock,core,medium,,,,,core,false,금융|은행|대형주,expanded US candidate; metrics pending; source snapshot 2026-05-24
GS,골드만삭스,US,KRW,USD,stock,core,medium-high,,,,,core|growth,false,금융|투자은행|경기민감,expanded US candidate; metrics pending; source snapshot 2026-05-24
MS,모건스탠리,US,KRW,USD,stock,core,medium,,,,,core|growth,false,금융|투자은행|대형주,expanded US candidate; metrics pending; source snapshot 2026-05-24
AXP,아메리칸 익스프레스,US,KRW,USD,stock,core,medium,,,,,core|growth,false,결제|소비|금융,expanded US candidate; metrics pending; source snapshot 2026-05-24
PYPL,페이팔,US,KRW,USD,stock,growth,high,,,,,growth|aggressive,false,결제|핀테크|고변동,expanded US candidate; metrics pending; source snapshot 2026-05-24
JNJ,존슨앤드존슨,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,헬스케어|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
MRK,머크,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,헬스케어|제약|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
ABBV,애브비,US,KRW,USD,stock,dividend,medium,,,,,dividend|defensive,true,헬스케어|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
PFE,화이자,US,KRW,USD,stock,dividend,medium-high,,,,,dividend|defensive,false,헬스케어|제약|배당,expanded US candidate; metrics pending; source snapshot 2026-05-24
TMO,써모 피셔 사이언티픽,US,KRW,USD,stock,growth,medium,,,,,growth|defensive,false,헬스케어|장비|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
ISRG,인튜이티브 서지컬,US,KRW,USD,stock,growth,medium-high,,,,,growth,false,헬스케어|의료기기|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
WMT,월마트,US,KRW,USD,stock,defensive,medium,,,,,defensive|core,true,소비재|방어주|우량주,expanded US candidate; metrics pending; source snapshot 2026-05-24
HD,홈디포,US,KRW,USD,stock,core,medium,,,,,core|growth,false,소비재|주택|대형주,expanded US candidate; metrics pending; source snapshot 2026-05-24
MCD,맥도날드,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,소비재|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
NKE,나이키,US,KRW,USD,stock,growth,medium-high,,,,,growth,false,소비재|브랜드|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
SBUX,스타벅스,US,KRW,USD,stock,growth,medium-high,,,,,growth,false,소비재|브랜드|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
PG,프록터앤드갬블,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,필수소비재|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
KO,코카콜라,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,필수소비재|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
PEP,펩시코,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,필수소비재|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
CVX,셰브론,US,KRW,USD,stock,dividend,medium-high,,,,,dividend|core,false,에너지|배당|경기민감,expanded US candidate; metrics pending; source snapshot 2026-05-24
CAT,캐터필러,US,KRW,USD,stock,core,medium-high,,,,,core|dividend,false,산업재|경기민감|배당,expanded US candidate; metrics pending; source snapshot 2026-05-24
GE,GE 에어로스페이스,US,KRW,USD,stock,growth,medium-high,,,,,growth|core,false,산업재|항공|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
RTX,RTX,US,KRW,USD,stock,defensive,medium,,,,,defensive|core,false,방산|항공우주|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
BA,보잉,US,KRW,USD,stock,growth,high,,,,,growth|aggressive,false,항공우주|고변동|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
LMT,록히드마틴,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,방산|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
NOC,노스롭그루먼,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,방산|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
DIS,월트디즈니,US,KRW,USD,stock,growth,medium-high,,,,,growth,false,콘텐츠|소비재|성장,expanded US candidate; metrics pending; source snapshot 2026-05-24
CMCSA,컴캐스트,US,KRW,USD,stock,dividend,medium,,,,,dividend|core,false,커뮤니케이션|배당,expanded US candidate; metrics pending; source snapshot 2026-05-24
T,AT&T,US,KRW,USD,stock,dividend,medium-high,,,,,dividend|defensive,false,통신|배당,expanded US candidate; metrics pending; source snapshot 2026-05-24
VZ,버라이즌,US,KRW,USD,stock,dividend,medium,,,,,dividend|defensive,true,통신|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
NEE,넥스트에라 에너지,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,유틸리티|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
DUK,듀크 에너지,US,KRW,USD,stock,defensive,medium,,,,,defensive|dividend,true,유틸리티|배당|방어,expanded US candidate; metrics pending; source snapshot 2026-05-24
